"CellID","Group","Cell","ExpLibSize","Matrix_Order","spatial_index","row","col","Checker_120_15","Mapped_Color"
"Type1_21","Type1","Cell32",44216.5618870131,32,42,0,41,"Black","#35978f"
"Type1_22","Type1","Cell33",62841.6451191332,33,43,0,42,"Black","#35978f"
"Type2_12","Type2","Cell34",62925.6206295617,34,26,0,25,"White","#8c510a"
"Type2_13","Type2","Cell35",82795.108970662,35,27,0,26,"White","#8c510a"
"Type2_14","Type2","Cell36",75612.2076138661,36,28,0,27,"White","#8c510a"
"Type1_23","Type1","Cell37",70573.3027930661,37,44,0,43,"Black","#35978f"
"Type2_15","Type2","Cell38",51372.8266838828,38,29,0,28,"White","#8c510a"
"Type1_24","Type1","Cell39",42534.9019215063,39,45,0,44,"Black","#35978f"
"Type1_25","Type1","Cell40",41224.241563029,40,46,0,45,"White","#35978f"
"Type1_26","Type1","Cell41",49269.1804978515,41,51,0,50,"White","#35978f"
"Type1_27","Type1","Cell42",52994.2948350735,42,53,0,52,"White","#35978f"
"Type1_28","Type1","Cell43",64718.2500136174,43,54,0,53,"White","#35978f"
"Type1_29","Type1","Cell44",63225.9610060241,44,61,0,60,"Black","#35978f"
"Type1_30","Type1","Cell45",51683.3641247302,45,62,0,61,"Black","#35978f"
"Type2_16","Type2","Cell46",61881.1924152085,46,30,0,29,"White","#8c510a"
"Type2_17","Type2","Cell47",44979.6778483517,47,35,0,34,"Black","#8c510a"
"Type1_31","Type1","Cell48",67665.9261039969,48,63,0,62,"Black","#35978f"
"Type1_32","Type1","Cell49",67160.0347313338,49,64,0,63,"Black","#35978f"
"Type1_33","Type1","Cell50",66129.4387122845,50,65,0,64,"Black","#35978f"
"Type2_18","Type2","Cell51",67253.25377096,51,36,0,35,"Black","#8c510a"
"Type1_34","Type1","Cell52",49700.1005034871,52,66,0,65,"Black","#35978f"
"Type1_35","Type1","Cell53",75996.3124475908,53,68,0,67,"Black","#35978f"
"Type1_36","Type1","Cell54",58663.5407383869,54,69,0,68,"Black","#35978f"
"Type2_19","Type2","Cell55",61477.4433210088,55,37,0,36,"Black","#8c510a"
"Type1_37","Type1","Cell56",45970.7333818499,56,70,0,69,"Black","#35978f"
"Type2_20","Type2","Cell57",57497.0037128985,57,39,0,38,"Black","#8c510a"
"Type2_21","Type2","Cell58",49785.4509400476,58,41,0,40,"Black","#8c510a"
"Type2_22","Type2","Cell59",57726.7045747838,59,47,0,46,"White","#8c510a"
"Type1_38","Type1","Cell60",83913.1096702428,60,71,0,70,"Black","#35978f"
"Type1_39","Type1","Cell61",39393.7600101223,61,73,0,72,"Black","#35978f"
"Type1_40","Type1","Cell62",66090.3666794196,62,75,0,74,"Black","#35978f"
"Type1_41","Type1","Cell63",54188.4962653522,63,79,0,78,"White","#35978f"
"Type1_42","Type1","Cell64",46500.3145028405,64,81,0,80,"White","#35978f"
"Type2_23","Type2","Cell65",63859.7032332744,65,48,0,47,"White","#8c510a"
"Type1_43","Type1","Cell66",39841.2666191235,66,86,0,85,"White","#35978f"
"Type1_44","Type1","Cell67",63939.8998420955,67,87,0,86,"White","#35978f"
"Type2_24","Type2","Cell68",70300.7597139433,68,49,0,48,"White","#8c510a"
"Type2_25","Type2","Cell69",77982.179306387,69,50,0,49,"White","#8c510a"
"Type1_45","Type1","Cell70",48513.5839031452,70,91,0,90,"Black","#35978f"
"Type1_46","Type1","Cell71",64279.7323374718,71,92,0,91,"Black","#35978f"
"Type1_47","Type1","Cell72",62541.254160506,72,93,0,92,"Black","#35978f"
"Type1_48","Type1","Cell73",70534.779375874,73,94,0,93,"Black","#35978f"
"Type2_26","Type2","Cell74",46088.7529628494,74,52,0,51,"White","#8c510a"
"Type1_49","Type1","Cell75",47971.4243121644,75,96,0,95,"Black","#35978f"
"Type1_50","Type1","Cell76",69845.5877986154,76,98,0,97,"Black","#35978f"
"Type1_51","Type1","Cell77",52149.6481519943,77,99,0,98,"Black","#35978f"
"Type2_27","Type2","Cell78",60991.9498830603,78,55,0,54,"White","#8c510a"
"Type1_52","Type1","Cell79",61609.3955633761,79,100,0,99,"Black","#35978f"
"Type2_28","Type2","Cell80",89804.1079112648,80,56,0,55,"White","#8c510a"
"Type2_29","Type2","Cell81",58684.0590522188,81,57,0,56,"White","#8c510a"
"Type2_30","Type2","Cell82",81536.8067227655,82,58,0,57,"White","#8c510a"
"Type2_31","Type2","Cell83",56074.6738352875,83,59,0,58,"White","#8c510a"
"Type1_53","Type1","Cell84",51872.3393924625,84,101,0,100,"Black","#35978f"
"Type2_32","Type2","Cell85",89443.628109738,85,60,0,59,"White","#8c510a"
"Type2_33","Type2","Cell86",55895.9626765875,86,67,0,66,"Black","#8c510a"
"Type2_34","Type2","Cell87",61677.0013526855,87,72,0,71,"Black","#8c510a"
"Type1_54","Type1","Cell88",82018.1073280278,88,102,0,101,"Black","#35978f"
"Type2_35","Type2","Cell89",45673.2651228977,89,74,0,73,"Black","#8c510a"
"Type2_36","Type2","Cell90",66296.369837579,90,76,0,75,"White","#8c510a"
"Type2_37","Type2","Cell91",88520.5032177378,91,77,0,76,"White","#8c510a"
"Type2_38","Type2","Cell92",89154.8390714764,92,78,0,77,"White","#8c510a"
"Type1_55","Type1","Cell93",58258.3061503586,93,103,0,102,"Black","#35978f"
"Type2_39","Type2","Cell94",62492.9609928765,94,80,0,79,"White","#8c510a"
"Type1_56","Type1","Cell95",56491.8772317313,95,104,0,103,"Black","#35978f"
"Type2_40","Type2","Cell96",63430.1751654375,96,82,0,81,"White","#8c510a"
"Type1_57","Type1","Cell97",48824.8101003173,97,105,0,104,"Black","#35978f"
"Type2_41","Type2","Cell98",64516.1954912699,98,83,0,82,"White","#8c510a"
"Type1_58","Type1","Cell99",49977.80410039,99,120,0,119,"White","#35978f"
"Type1_59","Type1","Cell100",73925.2698204057,100,121,1,0,"Black","#35978f"
"Type2_42","Type2","Cell101",76287.0452246901,101,84,0,83,"White","#8c510a"
"Type2_43","Type2","Cell102",67782.2507416002,102,85,0,84,"White","#8c510a"
"Type1_60","Type1","Cell103",55842.5337917784,103,122,1,1,"Black","#35978f"
"Type2_44","Type2","Cell104",69675.3521936945,104,88,0,87,"White","#8c510a"
"Type2_45","Type2","Cell105",59321.1388580912,105,89,0,88,"White","#8c510a"
"Type1_61","Type1","Cell106",59910.7248872774,106,123,1,2,"Black","#35978f"
"Type1_62","Type1","Cell107",62665.2500732437,107,124,1,3,"Black","#35978f"
"Type1_63","Type1","Cell108",56633.3424148967,108,125,1,4,"Black","#35978f"
"Type1_64","Type1","Cell109",54617.6793194361,109,127,1,6,"Black","#35978f"
"Type1_65","Type1","Cell110",62678.1742283735,110,128,1,7,"Black","#35978f"
"Type1_66","Type1","Cell111",48682.8088460642,111,130,1,9,"Black","#35978f"
"Type1_67","Type1","Cell112",44264.3273167999,112,131,1,10,"Black","#35978f"
"Type1_68","Type1","Cell113",60021.6086424961,113,132,1,11,"Black","#35978f"
"Type1_69","Type1","Cell114",70455.8920130017,114,133,1,12,"Black","#35978f"
"Type1_70","Type1","Cell115",51925.9724806264,115,134,1,13,"Black","#35978f"
"Type1_71","Type1","Cell116",70114.9289398332,116,140,1,19,"White","#35978f"
"Type1_72","Type1","Cell117",49300.7610902218,117,142,1,21,"White","#35978f"
"Type1_73","Type1","Cell118",50916.9531309651,118,143,1,22,"White","#35978f"
"Type1_74","Type1","Cell119",41988.8360398979,119,145,1,24,"White","#35978f"
"Type1_75","Type1","Cell120",65733.8080235133,120,147,1,26,"White","#35978f"
"Type2_46","Type2","Cell121",71299.5019039879,121,90,0,89,"White","#8c510a"
"Type1_76","Type1","Cell122",63332.2326220199,122,151,1,30,"Black","#35978f"
"Type1_77","Type1","Cell123",53479.3728828667,123,152,1,31,"Black","#35978f"
"Type2_47","Type2","Cell124",84566.1378445121,124,95,0,94,"Black","#8c510a"
"Type2_48","Type2","Cell125",59046.1018676732,125,97,0,96,"Black","#8c510a"
"Type1_78","Type1","Cell126",59160.2880599157,126,153,1,32,"Black","#35978f"
"Type2_49","Type2","Cell127",62008.4765036404,127,106,0,105,"White","#8c510a"
"Type1_79","Type1","Cell128",56606.2066615819,128,154,1,33,"Black","#35978f"
"Type2_50","Type2","Cell129",65781.3272399236,129,107,0,106,"White","#8c510a"
"Type2_51","Type2","Cell130",58558.4195477756,130,108,0,107,"White","#8c510a"
"Type1_80","Type1","Cell131",67653.3847760734,131,155,1,34,"Black","#35978f"
"Type1_81","Type1","Cell132",62932.5730657115,132,156,1,35,"Black","#35978f"
"Type2_52","Type2","Cell133",43669.0426988916,133,109,0,108,"White","#8c510a"
"Type1_82","Type1","Cell134",49028.4911550274,134,157,1,36,"Black","#35978f"
"Type2_53","Type2","Cell135",47625.2660384262,135,110,0,109,"White","#8c510a"
"Type2_54","Type2","Cell136",48693.5635367956,136,111,0,110,"White","#8c510a"
"Type1_83","Type1","Cell137",60400.0294262589,137,158,1,37,"Black","#35978f"
"Type2_55","Type2","Cell138",75371.7355821465,138,112,0,111,"White","#8c510a"
"Type2_56","Type2","Cell139",39644.6781503102,139,113,0,112,"White","#8c510a"
"Type1_84","Type1","Cell140",57179.4807468581,140,159,1,38,"Black","#35978f"
"Type2_57","Type2","Cell141",84187.3737068242,141,114,0,113,"White","#8c510a"
"Type2_58","Type2","Cell142",54368.3247447758,142,115,0,114,"White","#8c510a"
"Type2_59","Type2","Cell143",58280.6955749411,143,116,0,115,"White","#8c510a"
"Type2_60","Type2","Cell144",51753.6019716398,144,117,0,116,"White","#8c510a"
"Type2_61","Type2","Cell145",89090.3552229589,145,118,0,117,"White","#8c510a"
"Type1_85","Type1","Cell146",53716.0641893606,146,161,1,40,"Black","#35978f"
"Type1_86","Type1","Cell147",41674.0146292649,147,162,1,41,"Black","#35978f"
"Type1_87","Type1","Cell148",53884.2897756491,148,163,1,42,"Black","#35978f"
"Type1_88","Type1","Cell149",50645.3251137657,149,164,1,43,"Black","#35978f"
"Type1_89","Type1","Cell150",62534.7063054353,150,165,1,44,"Black","#35978f"
"Type2_62","Type2","Cell151",65909.1142166263,151,119,0,118,"White","#8c510a"
"Type2_63","Type2","Cell152",58541.5146236749,152,126,1,5,"Black","#8c510a"
"Type2_64","Type2","Cell153",65189.7497742491,153,129,1,8,"Black","#8c510a"
"Type1_90","Type1","Cell154",61870.1168058144,154,171,1,50,"White","#35978f"
"Type1_91","Type1","Cell155",74575.8617272268,155,181,1,60,"Black","#35978f"
"Type1_92","Type1","Cell156",58544.4909891673,156,182,1,61,"Black","#35978f"
"Type1_93","Type1","Cell157",63505.055307108,157,184,1,63,"Black","#35978f"
"Type1_94","Type1","Cell158",49693.9816133406,158,185,1,64,"Black","#35978f"
"Type1_95","Type1","Cell159",39881.0543155359,159,187,1,66,"Black","#35978f"
"Type2_65","Type2","Cell160",60689.0798906996,160,135,1,14,"Black","#8c510a"
"Type1_96","Type1","Cell161",72582.6899001264,161,188,1,67,"Black","#35978f"
"Type1_97","Type1","Cell162",43005.3146958591,162,189,1,68,"Black","#35978f"
"Type1_98","Type1","Cell163",54276.4947089955,163,192,1,71,"Black","#35978f"
"Type2_66","Type2","Cell164",46803.3572029228,164,136,1,15,"White","#8c510a"
"Type1_99","Type1","Cell165",70118.5816928123,165,193,1,72,"Black","#35978f"
"Type1_100","Type1","Cell166",45738.1524934479,166,194,1,73,"Black","#35978f"
"Type1_101","Type1","Cell167",60015.6495799074,167,195,1,74,"Black","#35978f"
"Type1_102","Type1","Cell168",55339.9361570217,168,196,1,75,"White","#35978f"
"Type1_103","Type1","Cell169",65495.2876300962,169,199,1,78,"White","#35978f"
"Type1_104","Type1","Cell170",53474.720154467,170,203,1,82,"White","#35978f"
"Type2_67","Type2","Cell171",79933.0471233841,171,137,1,16,"White","#8c510a"
"Type2_68","Type2","Cell172",56743.9646065566,172,138,1,17,"White","#8c510a"
"Type1_105","Type1","Cell173",53951.1674717908,173,204,1,83,"White","#35978f"
"Type1_106","Type1","Cell174",80020.4872135455,174,209,1,88,"White","#35978f"
"Type1_107","Type1","Cell175",59822.0513558899,175,213,1,92,"Black","#35978f"
"Type2_69","Type2","Cell176",50438.8485881055,176,139,1,18,"White","#8c510a"
"Type1_108","Type1","Cell177",64482.1146845319,177,216,1,95,"Black","#35978f"
"Type1_109","Type1","Cell178",63663.4262469509,178,218,1,97,"Black","#35978f"
"Type2_70","Type2","Cell179",68933.9568311894,179,141,1,20,"White","#8c510a"
"Type2_71","Type2","Cell180",45287.4903600872,180,144,1,23,"White","#8c510a"
"Type1_110","Type1","Cell181",37528.4382411574,181,219,1,98,"Black","#35978f"
"Type2_72","Type2","Cell182",73832.9458237791,182,146,1,25,"White","#8c510a"
"Type1_111","Type1","Cell183",40158.5831717334,183,220,1,99,"Black","#35978f"
"Type1_112","Type1","Cell184",76742.9242930981,184,221,1,100,"Black","#35978f"
"Type2_73","Type2","Cell185",82811.0271347017,185,148,1,27,"White","#8c510a"
"Type2_74","Type2","Cell186",65331.914387524,186,149,1,28,"White","#8c510a"
"Type1_113","Type1","Cell187",55953.5875820242,187,222,1,101,"Black","#35978f"
"Type2_75","Type2","Cell188",52367.5736057145,188,150,1,29,"White","#8c510a"
"Type1_114","Type1","Cell189",71579.4229191651,189,223,1,102,"Black","#35978f"
"Type2_76","Type2","Cell190",56845.8415348115,190,160,1,39,"Black","#8c510a"
"Type2_77","Type2","Cell191",50323.3819018125,191,166,1,45,"White","#8c510a"
"Type1_115","Type1","Cell192",61737.1034680717,192,224,1,103,"Black","#35978f"
"Type1_116","Type1","Cell193",65064.8580663679,193,225,1,104,"Black","#35978f"
"Type1_117","Type1","Cell194",37558.9360995414,194,226,1,105,"White","#35978f"
"Type1_118","Type1","Cell195",57873.0851201463,195,233,1,112,"White","#35978f"
"Type2_78","Type2","Cell196",51885.5019526711,196,167,1,46,"White","#8c510a"
"Type2_79","Type2","Cell197",58624.4456801,197,168,1,47,"White","#8c510a"
"Type1_119","Type1","Cell198",55101.7043614761,198,235,1,114,"White","#35978f"
"Type1_120","Type1","Cell199",43994.4576780681,199,236,1,115,"White","#35978f"
"Type1_121","Type1","Cell200",54186.4296559239,200,237,1,116,"White","#35978f"
"Type1_122","Type1","Cell201",83685.0804881188,201,241,2,0,"Black","#35978f"
"Type2_80","Type2","Cell202",79645.332243993,202,169,1,48,"White","#8c510a"
"Type1_123","Type1","Cell203",88813.0635002277,203,242,2,1,"Black","#35978f"
"Type1_124","Type1","Cell204",63340.8161779791,204,243,2,2,"Black","#35978f"
"Type2_81","Type2","Cell205",48432.493460326,205,170,1,49,"White","#8c510a"
"Type1_125","Type1","Cell206",69289.1917865413,206,244,2,3,"Black","#35978f"
"Type2_82","Type2","Cell207",79720.4892345496,207,172,1,51,"White","#8c510a"
"Type2_83","Type2","Cell208",43406.9471499333,208,173,1,52,"White","#8c510a"
"Type1_126","Type1","Cell209",49852.9661691137,209,245,2,4,"Black","#35978f"
"Type1_127","Type1","Cell210",50538.0188883712,210,246,2,5,"Black","#35978f"
"Type1_128","Type1","Cell211",65344.8534275004,211,248,2,7,"Black","#35978f"
"Type1_129","Type1","Cell212",65916.790085026,212,249,2,8,"Black","#35978f"
"Type2_84","Type2","Cell213",82660.3951514043,213,174,1,53,"White","#8c510a"
"Type2_85","Type2","Cell214",57464.2413701159,214,175,1,54,"White","#8c510a"
"Type1_130","Type1","Cell215",48746.8288986999,215,250,2,9,"Black","#35978f"
"Type2_86","Type2","Cell216",51342.5211612137,216,176,1,55,"White","#8c510a"
"Type2_87","Type2","Cell217",65405.6511904567,217,177,1,56,"White","#8c510a"
"Type1_131","Type1","Cell218",64367.6317202233,218,251,2,10,"Black","#35978f"
"Type2_88","Type2","Cell219",63230.3720495186,219,178,1,57,"White","#8c510a"
"Type2_89","Type2","Cell220",72577.2844587705,220,179,1,58,"White","#8c510a"
"Type2_90","Type2","Cell221",75427.874019768,221,180,1,59,"White","#8c510a"
"Type1_132","Type1","Cell222",55749.5061059702,222,253,2,12,"Black","#35978f"
"Type2_91","Type2","Cell223",48325.3961557205,223,183,1,62,"Black","#8c510a"
"Type2_92","Type2","Cell224",63980.7043358291,224,186,1,65,"Black","#8c510a"
"Type2_93","Type2","Cell225",58022.6360584191,225,190,1,69,"Black","#8c510a"
"Type1_133","Type1","Cell226",62810.8476648651,226,254,2,13,"Black","#35978f"
"Type1_134","Type1","Cell227",61684.9819499075,227,255,2,14,"Black","#35978f"
"Type2_94","Type2","Cell228",64223.4941287008,228,191,1,70,"Black","#8c510a"
"Type2_95","Type2","Cell229",55310.0876871097,229,197,1,76,"White","#8c510a"
"Type2_96","Type2","Cell230",47749.2515816423,230,198,1,77,"White","#8c510a"
"Type2_97","Type2","Cell231",48312.1734631706,231,200,1,79,"White","#8c510a"
"Type2_98","Type2","Cell232",86890.1392564691,232,201,1,80,"White","#8c510a"
"Type2_99","Type2","Cell233",46651.3455733267,233,202,1,81,"White","#8c510a"
"Type2_100","Type2","Cell234",60823.4217571302,234,205,1,84,"White","#8c510a"
"Type2_101","Type2","Cell235",55487.9503302219,235,206,1,85,"White","#8c510a"
"Type2_102","Type2","Cell236",77354.7485969133,236,207,1,86,"White","#8c510a"
"Type2_103","Type2","Cell237",51412.2100773707,237,208,1,87,"White","#8c510a"
"Type2_104","Type2","Cell238",59109.7179754643,238,210,1,89,"White","#8c510a"
"Type2_105","Type2","Cell239",60756.9105056336,239,211,1,90,"Black","#8c510a"
"Type2_106","Type2","Cell240",61427.4632223866,240,212,1,91,"Black","#8c510a"
"Type1_135","Type1","Cell241",41927.9134775548,241,256,2,15,"White","#35978f"
"Type2_107","Type2","Cell242",53756.1617006535,242,214,1,93,"Black","#8c510a"
"Type2_108","Type2","Cell243",56059.8140736652,243,215,1,94,"Black","#8c510a"
"Type1_136","Type1","Cell244",65292.3637356656,244,259,2,18,"White","#35978f"
"Type1_137","Type1","Cell245",76136.8708128579,245,260,2,19,"White","#35978f"
"Type2_109","Type2","Cell246",64681.4181499983,246,217,1,96,"Black","#8c510a"
"Type2_110","Type2","Cell247",63338.5524631971,247,227,1,106,"White","#8c510a"
"Type2_111","Type2","Cell248",51133.785779111,248,228,1,107,"White","#8c510a"
"Type1_138","Type1","Cell249",75631.0756835428,249,261,2,20,"White","#35978f"
"Type2_112","Type2","Cell250",77823.1220724595,250,229,1,108,"White","#8c510a"
"Type2_113","Type2","Cell251",56408.027172749,251,230,1,109,"White","#8c510a"
"Type2_114","Type2","Cell252",84130.6602434694,252,231,1,110,"White","#8c510a"
"Type2_115","Type2","Cell253",68773.5062797056,253,232,1,111,"White","#8c510a"
"Type1_139","Type1","Cell254",74438.6820415268,254,262,2,21,"White","#35978f"
"Type2_116","Type2","Cell255",53902.1945644754,255,234,1,113,"White","#8c510a"
"Type1_140","Type1","Cell256",55284.7781983874,256,269,2,28,"White","#35978f"
"Type1_141","Type1","Cell257",48883.4226430481,257,271,2,30,"Black","#35978f"
"Type2_117","Type2","Cell258",55062.9039014321,258,238,1,117,"White","#8c510a"
"Type2_118","Type2","Cell259",75475.865143708,259,239,1,118,"White","#8c510a"
"Type1_142","Type1","Cell260",55444.1481211172,260,272,2,31,"Black","#35978f"
"Type2_119","Type2","Cell261",75015.4311039369,261,240,1,119,"White","#8c510a"
"Type1_143","Type1","Cell262",53137.2955925915,262,273,2,32,"Black","#35978f"
"Type1_144","Type1","Cell263",52712.0135680877,263,274,2,33,"Black","#35978f"
"Type1_145","Type1","Cell264",63359.8451298242,264,275,2,34,"Black","#35978f"
"Type2_120","Type2","Cell265",52659.9474903269,265,247,2,6,"Black","#8c510a"
"Type2_121","Type2","Cell266",67563.4436265378,266,252,2,11,"Black","#8c510a"
"Type2_122","Type2","Cell267",66488.4814784804,267,257,2,16,"White","#8c510a"
"Type2_123","Type2","Cell268",55369.6156716407,268,258,2,17,"White","#8c510a"
"Type2_124","Type2","Cell269",60201.906229307,269,263,2,22,"White","#8c510a"
"Type1_146","Type1","Cell270",60861.0461288909,270,276,2,35,"Black","#35978f"
"Type2_125","Type2","Cell271",56681.114045884,271,264,2,23,"White","#8c510a"
"Type2_126","Type2","Cell272",56039.5916226019,272,265,2,24,"White","#8c510a"
"Type1_147","Type1","Cell273",61859.871642547,273,277,2,36,"Black","#35978f"
"Type1_148","Type1","Cell274",82125.2248314431,274,279,2,38,"Black","#35978f"
"Type2_127","Type2","Cell275",60222.1034916857,275,266,2,25,"White","#8c510a"
"Type1_149","Type1","Cell276",73975.4261116138,276,281,2,40,"Black","#35978f"
"Type1_150","Type1","Cell277",49038.1012003758,277,282,2,41,"Black","#35978f"
"Type1_151","Type1","Cell278",66565.5060559004,278,283,2,42,"Black","#35978f"
"Type1_152","Type1","Cell279",51273.2349987639,279,284,2,43,"Black","#35978f"
"Type1_153","Type1","Cell280",49659.0776194869,280,285,2,44,"Black","#35978f"
"Type2_128","Type2","Cell281",62933.0011279629,281,267,2,26,"White","#8c510a"
"Type1_154","Type1","Cell282",50191.6281916465,282,288,2,47,"White","#35978f"
"Type1_155","Type1","Cell283",80205.0762197909,283,293,2,52,"White","#35978f"
"Type2_129","Type2","Cell284",47914.9667193394,284,268,2,27,"White","#8c510a"
"Type2_130","Type2","Cell285",51470.8168940452,285,270,2,29,"White","#8c510a"
"Type1_156","Type1","Cell286",60642.7227692696,286,295,2,54,"White","#35978f"
"Type2_131","Type2","Cell287",62135.1086156371,287,278,2,37,"Black","#8c510a"
"Type1_157","Type1","Cell288",68790.8442992503,288,296,2,55,"White","#35978f"
"Type1_158","Type1","Cell289",57547.3512320469,289,298,2,57,"White","#35978f"
"Type1_159","Type1","Cell290",45923.6155195647,290,301,2,60,"Black","#35978f"
"Type1_160","Type1","Cell291",43950.7891212838,291,302,2,61,"Black","#35978f"
"Type1_161","Type1","Cell292",34754.621091111,292,303,2,62,"Black","#35978f"
"Type2_132","Type2","Cell293",68856.6649952398,293,280,2,39,"Black","#8c510a"
"Type1_162","Type1","Cell294",67989.6971013769,294,304,2,63,"Black","#35978f"
"Type1_163","Type1","Cell295",64573.1350251033,295,305,2,64,"Black","#35978f"
"Type1_164","Type1","Cell296",58445.9720728676,296,306,2,65,"Black","#35978f"
"Type1_165","Type1","Cell297",58347.0608999104,297,307,2,66,"Black","#35978f"
"Type2_133","Type2","Cell298",70162.1529555464,298,286,2,45,"White","#8c510a"
"Type2_134","Type2","Cell299",55860.5739461238,299,287,2,46,"White","#8c510a"
"Type1_166","Type1","Cell300",73553.1621909111,300,308,2,67,"Black","#35978f"
"Type1_167","Type1","Cell301",78300.5491945989,301,309,2,68,"Black","#35978f"
"Type1_168","Type1","Cell302",69785.5126989793,302,311,2,70,"Black","#35978f"
"Type2_135","Type2","Cell303",47199.0064294605,303,289,2,48,"White","#8c510a"
"Type1_169","Type1","Cell304",83648.6253797755,304,312,2,71,"Black","#35978f"
"Type2_136","Type2","Cell305",60243.2673607505,305,290,2,49,"White","#8c510a"
"Type1_170","Type1","Cell306",55804.6119610302,306,313,2,72,"Black","#35978f"
"Type2_137","Type2","Cell307",48611.8649787303,307,291,2,50,"White","#8c510a"
"Type1_171","Type1","Cell308",54794.5591009795,308,314,2,73,"Black","#35978f"
"Type1_172","Type1","Cell309",73581.7763438043,309,315,2,74,"Black","#35978f"
"Type1_173","Type1","Cell310",55022.5840873344,310,319,2,78,"White","#35978f"
"Type2_138","Type2","Cell311",76024.8229324726,311,292,2,51,"White","#8c510a"
"Type1_174","Type1","Cell312",35808.6261333588,312,331,2,90,"Black","#35978f"
"Type1_175","Type1","Cell313",69385.898588358,313,333,2,92,"Black","#35978f"
"Type2_139","Type2","Cell314",45847.8351951023,314,294,2,53,"White","#8c510a"
"Type1_176","Type1","Cell315",53668.959509049,315,334,2,93,"Black","#35978f"
"Type2_140","Type2","Cell316",67582.7346989971,316,297,2,56,"White","#8c510a"
"Type1_177","Type1","Cell317",46746.9034927576,317,335,2,94,"Black","#35978f"
"Type1_178","Type1","Cell318",54382.9372637269,318,336,2,95,"Black","#35978f"
"Type1_179","Type1","Cell319",53757.735853703,319,337,2,96,"Black","#35978f"
"Type1_180","Type1","Cell320",53039.5547237445,320,338,2,97,"Black","#35978f"
"Type2_141","Type2","Cell321",73225.2179874153,321,299,2,58,"White","#8c510a"
"Type1_181","Type1","Cell322",64413.9328780499,322,339,2,98,"Black","#35978f"
"Type1_182","Type1","Cell323",50872.2248080013,323,340,2,99,"Black","#35978f"
"Type2_142","Type2","Cell324",51525.0574146279,324,300,2,59,"White","#8c510a"
"Type2_143","Type2","Cell325",79175.1146512923,325,310,2,69,"Black","#8c510a"
"Type1_183","Type1","Cell326",57007.9513452888,326,341,2,100,"Black","#35978f"
"Type2_144","Type2","Cell327",49540.277504783,327,316,2,75,"White","#8c510a"
"Type1_184","Type1","Cell328",72151.346184725,328,342,2,101,"Black","#35978f"
"Type1_185","Type1","Cell329",98233.0520664459,329,343,2,102,"Black","#35978f"
"Type1_186","Type1","Cell330",72894.0506669353,330,344,2,103,"Black","#35978f"
"Type2_145","Type2","Cell331",51356.8750066488,331,317,2,76,"White","#8c510a"
